Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
HBO,Divorce Season 3 ,Drama,0,,0,,0,,,,,,,
Netflix,"Dope, Season 3",Docu-series,0,,0,,0,,,,,,,
TLC,Dr. Pimple Popper,Alternative,0,,0,,n/a,,,,,,,
NATIONAL GEOGRAPHIC,Drain the Oceans,Docu-series,0,,0,,0,,,,,,,
Netflix,"Droppin' Cash, Season 2",Alternative,0,,0,,0,,,,,,,
Comedy Central,Drunk History,Alternative,0,,0,,0,,,,,,,
Netflix,Easy,Comedy,0,,0,,0,,,,,,,
CBS,Elementary,Drama,0,,0,,0,,,,,,,
HBO,Euphoria,Drama,1,Alexa Demie,0,,0,,,,,,,
Netflix,Exhibt A ,Docu-series,0,,0,,n/a,,,,,,,
DISCOVERY CHANNEL,Expedition Unknown,Alternative,0,,0,,n/a,,,,,,,
INVESTIGATION DISCOVERY,Extreme Measures Season 2 ,Alternative,0,,0,,n/a,,,,,,,
ABC,Family Food Fight,Alternative,0,,0,,0,,,,,,,
Food Network,Family Restaurant Rivals,Alternative ,0,,0,,n/a,,,,,,,
Netflix,Family Reunion,Comedy,0,,0,,0,,,,,,,
DISCOVERY CHANNEL,Fast N' Loud,Alternative,0,,0,,n/a,,,,,,,
AMC,Fear The Walking Dead,Drama,1,Danay Garcia,0,,0,,,,,,,
INVESTIGATION DISCOVERY,Fear Thy Neighbor Season 6,Drama,0,,0,,n/a,,,,,,,
FOX,First Responders Live,Docu-series,0,,0,,0,,,,,,,
Amazon,Fleabag,Drama,0,,0,,0,,,,,,,
E!,Flip It Like Disick,Alternative,0,,0,,0,,,,,,,
HGTV,Flip or Flop Season 8,Alternative,0,,0,,n/a,,,,,,,
Bravo,Flippin’ Exes,Alternative,0,,0,,0,,,,,,,
INVESTIGATION DISCOVERY,Forbidden: Dying for Love Season 4,Drama,0,,0,,n/a,,,,,,,
History,Forged in Fire: Knife or Death,Alternative,0,,0,,n/a,,,,,,,
Hulu ,Four Weddings and a Funeral,Comedy,0,,0,,0,,,,,,,
Amazon,Free Meek,Docu-series,0,,0,,0,,,,,,,
Travel Channel,Ghost Brothers Season 3,Docu-series,0,,0,,n/a,,,,,,,
A&E,Ghost Hunters Season 12 (Revival) ,Alternative,0,,0,,0,,,,,,,
Travel Channel,Ghosts of Morgan City,Alternative,0,,n/a,,n/a,,,,,,,
VH1,Girls Cruise,Alternative,0,,0,,0,,,,,,,
Netflix,"Girls Incarcerated, Season 2",Alternative,0,,0,,0,,,,,,,
Netflix,GLOW,Comedy,0,,0,,0,,,,,,,
HGTV,Going for Sold,Alternative,0,,0,,n/a,,,,,,,
HGTV,Good Bones,Alternative,0,,0,,n/a,,,,,,,
Food Network,Good Eats Season 15 (Revival),Alternative ,0,,0,,n/a,,,,,,,
Amazon,Good Omens,Comedy,0,,0,,0,,,,,,,
