Name,Production,Country of Origin 
Rick Alvarez ,Sextuplets,United States
Jhonen Vasquez,Invader Zim-Enter the Florpus,United States
Julio Torres,Los Espookys,El Salvador 
Ana Fabrega ,Los Espookys,United States
Sebastian Gutierrez ,Jett,Venezuela
Tanya Saracho,Vida,Mexico
Dailyn Rodriguez,Queen of the South,United States
Ben Lobato,Queen of the South,United States
Arturo Castro ,Alternatino,Guatemala
Steve Canals,Pose,United States
Guillermo Del Toro,3 Below: Tales of Arcadia,Mexico
